,Unnamed: 0,participant,block,trial,direction,start_pos,start_pos_deg,t_start,t_end,stop_pos,stop_pos_deg,pos_pressed,pos_pressed_deg,error,error_deg,rt
80,80,P3,6,6,2,450.0,12.60412912808349,0.0,769.7388412180007,-84.0,2.3527707705755847,122.0,3.417119452502635,-38.0,-1.06434868192705,0.3107897840018268
81,81,P3,6,7,2,450.0,12.60412912808349,0.0,774.4879702030012,-126.0,3.5291561558633773,145.0,4.061330496826902,-19.0,-0.532174340963525,-0.0741773169938824
82,82,P3,6,3,2,450.0,12.60412912808349,779.9880993289989,780.1050148939976,42.0,-1.1763853852877924,55.0,1.5405046712102042,-97.0,-2.7168900564979968,0.1768153829980292
83,83,P3,6,5,2,450.0,12.60412912808349,0.0,785.2218972580013,-42.0,1.1763853852877924,112.0,3.13702769410078,-70.0,-1.9606423088129872,0.2437893790047383
85,85,P3,7,3,2,450.0,12.60412912808349,825.1391105200019,825.2556695610037,42.0,-1.1763853852877924,27.0,0.7562477476850094,-69.0,-1.9326331329728017,0.1104980000091018
87,87,P3,7,1,2,450.0,12.60412912808349,835.922396629001,836.2725529790041,126.0,-3.5291561558633773,35.0,0.9803211544064936,-161.0,-4.509477310269871,0.2266722670101444
90,90,P3,7,6,2,450.0,12.60412912808349,0.0,851.6064361270037,-84.0,2.3527707705755847,113.0,3.165036869940965,-29.0,-0.8122660993653803,0.0437832770039676
92,92,P3,7,7,2,450.0,12.60412912808349,0.0,862.2238147149983,-126.0,3.5291561558633773,123.0,3.4451286283428204,3.0,0.0840275275205566,0.260815225999977
93,93,P3,7,5,2,450.0,12.60412912808349,0.0,867.2572309290044,-42.0,1.1763853852877924,92.0,2.576844177297069,-50.0,-1.4004587920092766,-0.0562312439942616
94,94,P3,7,4,2,450.0,12.60412912808349,872.7235409200002,872.7065207320047,-0.0,0.0,70.0,1.9606423088129872,-70.0,-1.9606423088129872,0.0774724570073885
95,95,P3,7,2,2,450.0,12.60412912808349,878.0398385869994,878.2732695980012,84.0,-2.3527707705755847,15.0,0.420137637602783,-99.0,-2.772908408178368,0.1607823770027607
99,99,P3,8,6,2,450.0,12.60412912808349,0.0,973.3756523179982,-84.0,2.3527707705755847,115.0,3.221055221621336,-31.0,-0.8682844510457515,0.0110736600036034
